front_text,back_text
among,"wśród, pomiędzy"
down,"na dół, w dół, dół, przygnębiony, obniżyć"
rate,"stawka, cena, tempo, prędkość, wskaźnik"
several,"kilka, poszczególny, oddzielny"
international,międzynarodowy
figure,"liczba, cyfra, figura, sylwetka, wykres, postać, figurować, obliczyć, rysunek"
although,"choć, chociaż"
cost,"kosztować, szacować, koszt"
conditions,warunki
results,wyniki
production,produkcja
necessary,"niezbędny, konieczny"
air,"powietrze, aura, podmuch, lotniczy"
south,"południe, południowy"
therefore,"zatem, dlatego, więc"
rather,"raczej, dość"
chapter,"rozdział, oddział"
level,"poziom, piętro, wyrównywać"
far,"daleko, daleki, znacznie"
political,polityczny
evidence,"dowód, świadectwo"
society,"społeczeństwo, stowarzyszenie"
off,"wyłączony, odłączyć"
low,"niski, tani, mały, obniżyć"
common,"powszechny, pospolity, wspólny, częsty"
next,"następny, kolejny, bliski"
north,"północ, północny, na północ"
position,"pozycja, posada, stanowisko, opinia, umieszczać, umiejscawiać, ulokować"
trade,"handel, wymiana, transakcja, branża, zawód, handlowy, gospodarczy, branżowy, handlować"
bill,"rachunek, banknot, projekt, ustawa, dziób, wystawiać"
material,"materiał, tworzywo, materialny, rzeczowy, istotny, materiałowy"
association,"skojarzenie, asocjacja, związek, stowarzyszenie, kongregacja"
himself,"sam, sobie, siebie, on sam"
nature,"natura, przyroda"
method,"metoda, sposób"
market,"rynek, targowisko, wprowadzać na rynek"
west,"zachód, zachodni, na zachód"
human,"człowiek, ludzki"
third,trzeci
view,"pogląd, opinia, widok, pole widzenia, oglądać, przeglądać"
similar,podobny
secretary,"sekretarz, sekretarka"
products,produkty
need,"potrzeba, wymagać, potrzebować, musieć"
received,"otrzymane ,odebrać, otrzymać, przyjęty"
average,"średnia, przeciętny, średni, obliczać, wynosić, średnio"
death,"śmierć, zgon, umieranie, koniec, kostucha, śmiertelny, pośmiertny, pozgonny"
purpose,"cel, zamiar, zastosowanie"
considered,"uważać, uznawać, uznać, rozważany"
model,"model, wzór, wzorzec, modelka, miniatura, modelować, wzorować się, naśladować"
early,"wczesny, dawny, wcześnie"
force,"siła, moc, natężenie, potęga, przemoc, oddziaływanie, zmuszać, przymusić, forsować"
itself,"sam, sama, samo, siebie, sobie"
major,"główny, specjalizacja, przedmiot, kierunek, znaczący, poważny, znaczny, durowy, specjalizować się"
increased,"zwiększony, powiększony"
support,"popierać, wspierać, podtrzymywać, utrzymywać, potwierdzać, kibicować, wsparcie, poparcie, podpora, pomoc techniczna"
enough,"dość, dosyć, wystarczająco"
specific,"specyficzny, wyraźny, charakterystyczny, właściwy, swoisty, specyfikacja, specyfik, konkretny"
oil,"olej, oliwa, ropa naftowa, nafta, olejny, smarować, oliwić"
private,"prywatny, szeregowy, starszy szeregowy"
along,"wzdłuż, przy, po, na, naprzód, razem"
knowledge,"wiedza, znajomość"
ever,"kiedykolwiek, zawsze"
whole,"całość, cały, pełny, całkowicie"
natural,"naturalny, przyrodniczy, wrodzony, zwykły, normalny"
million,milion
training,"trening, szkolenie, ćwiczenie, tresura, tresować"
population,"populacja, ludność, mieszkańcy"
march,"marsz, maszerować, demonstrować, marzec"
experience,"doświadczenie, przeżycie, doświadczać, przeżywać"
account,"konto, rachunek, relacja, raport, rozliczać, wyjaśniać"
structure,"struktura, konstrukcja, strukturyzować"
labor,"praca, robocizna, poród"
addition,"dodatek, dodanie, dopisek, dobudówka, członek"
east,"wschód, wschodni, na wschód"
single,"pojedynczy, wolny, niezamężny, pokój jednoosobowy, bilet, singiel"
capital,"stolica, kapitał, wielka litera"
medical,"medyczny, lekarski"
continued,"kontynuowany, ciągły, dalszy, ciąg dalszy"
plant,"roślina, zakład, fabryka, sadzonka, sadzić"
century,"wiek, stulecie"
center,"centrum, środek, centrować"
especially,"szczególnie, zwłaszcza, wyjątkowo"
except,"oprócz, z wyjątkiem, poza, chyba że"
themselves,"sami, sam, siebie, sobie"
space,"przestrzeń, miejsce, spacja, kosmiczny"
perhaps,"może, być może"
statement,"oświadczenie, stwierdzenie, wypowiedź, komunikat"
quite,"całkiem, dosyć, zupełnie"
gas,"gaz, benzyna, gaz ziemny, zatruć gazem"
established,"ustanowiony ,założony, ustalony, przyjęty"
quality,"jakość, cecha, właściwość"
pressure,"ciśnienie, nacisk, presja, zmuszać"
probably,"prawdopodobnie, zapewne"
clear,"czysty, jasny, wyraźny, przejrzysty, zrozumiały, bezchmurny, jasno, wyraźnie, czyścić, opróżniać, sprzątać"
road,"droga, ulica, szosa, jezdnia"
sense,"zmysł, poczucie, wyczucie, rozsądek, sens, odczucie, wyczuwać"
title,"tytuł, tytułować, zatytułować, nadawać tytuł"
temperature,temperatura
source,"źródło, rzeka, strumień"
range,"zakres, donośność, zasięg, pasmo, łańcuch górski, skala, przemierzać, obejmować, wahać się"
additional,"dodatkowy, uzupełniający"
return,"wracać, zwracać, powrót, zwrot, przynosić, reportować"
performance,"występ, wykonanie, odtworzenie, przedstawienie, osiągi, wynik, wydajność"
developed,"rozwinięty, opracowany"
military,"wojsko, wojskowy"
seems,"wydawać się, zdawać się, wydaje się"
issue,"kwestia, problem, wydanie, nakład, wydawać, publikować"
published,"opublikowany, wydany"
situation,"sytuacja, okoliczność"
director,"dyrektor, dyrektorka, reżyser"
unit,"jednostka, agregat"
physical,"fizyczny, cielesny, materialny"
toward,"ku, w kierunku, na, do"
attention,"uwaga, zainteresowanie, opieka, troska"
final,"finał, ostatni, końcowy, ostateczny, finałowy"
across,"przez, na przełaj, w poprzek"
normal,"normalny, zwykły, stan"
chairman,"przewodniczący, prezes"
direct,"bezpośredni, skierować, adresować, ukierunkować"
staff,"personel, sztab"
blood,"krew, pokrewieństwo"
patients,pacjenci
significant,"ważny, istotny, znaczący"
solution,"rozwiązanie, roztwór"
complete,"kompletny, całkowity, ukończony, wypełnić, zakończyć"
agency,"agencja, urząd, przedstawicielstwo"
whom,"kogo, kim, który"
applied,"stosowany, zastosowany"
recent,"niedawny, aktualny, ostatni"
original,"oryginał, pierwotny, początkowy, oryginalny"
response,"odpowiedź, reakcja"
modern,"współczesny, nowoczesny, nowożytny"
produced,"wyprodukowany, wytworzony"
basic,"podstawowy, fundamentalny, bazowy, najprostszy"
likely,"prawdopodobny, prawdopodobnie"
opinion,"opinia, zdanie"
degree,"stopień, tytuł naukowy, poziom"
finally,"ostatecznie, w końcu, nareszcie, wreszcie"
simple,"łatwy, prosty, zwykły"
appropriate,"odpowiedni, właściwy, stosowny"
cross,"krzyż, skrzyżowanie, przechodzić, poprzeczny"
sent,wysłany
appear,"pojawiać się, wydawać się, zdawać się, występować, pojawić się"
discussion,dyskusja
instead,"zamiast, natomiast"
wide,"szeroki, szeroko"
weight,"waga, ciężar, odważnik"
understand,"rozumieć, zrozumieć"
beyond,"poza, za, ponad"
manner,"sposób, maniera"
passed,"minąć, przechodzić, zdać, przeszedł"
direction,"kierunek, cel, kierowanie, reżyseria, dyrekcja, wskazówka"
indeed,"co więcej, naprawdę, rzeczywiście, istotnie, w rzeczy samej"
lost,"zagubiony, zaginiony, stracony, przegrany"
credit,"kredyt, uznanie, zaufanie, zasługa, udzielić, przypisać"
hundred,"sto, setka"
author,"autor, autorka, tworzyć"
importance,"znaczenie, waga, ważność, doniosłość"
text,"tekst, wiadomość, tekstowy, wysyłać, pisać odręcznie"
notice,"ogłoszenie, wypowiedzenie, uwaga, wiadomość, zawiadomienie, powiadomienie, zauważać"
exchange,"dewizowy, wymienny, giełdowy, walutowy, zamiana, wymiana, kurs, giełda, centrala telefoniczna, wymieniać, zamieniać"
scale,"skala, podziałka, waga, łuska, wielkość, pomiarowy, skalować, przeskalować, wspiąć się na szczyt, skrobać, łuszczyć się"
proper,"właściwy, prawidłowy, odpowiedni"
simply,po prostu
clearly,"wyraźnie, jasno, bez wątpienia, ewidentnie"
contact,"kontakt, styczność, styk, zetknięcie, kontaktowy, kontaktować się"
claims,"roszczenia, twierdzenia, twierdzić"
heat,"ciepło, ogień, ogrzewać"
actually,"właściwie, tak naprawdę, w rzeczywistości"
operating,"operacyjny, roboczy, sprawny, funkcjonalny, działający"
earth,"ziemia, gleba, świat, uziemiać"
influence,"wpływ, wpływać"
nearly,"prawie, niemal, blisko"
continue,"kontynuować, dalej, wznowić"
compared,"porównany, porównać, w porównaniu"
electric,elektryczny
referred,"skierowany, odnoszący się"
voice,"głos, wyrażać, wypowiadać, wymawiać, dźwięcznie"
either,"którykolwiek z dwóch, albo, lub, ani, też"
towards,"ku, w kierunku, wobec"
allowed,"dozwolony, upoważniony, zezwolony, pozwolony, dozwolone"
opportunity,"okazja, możliwość, sposobność, szansa"
meaning,"znaczenie, sens, oznaczać"
behavior,zachowanie
police,"policja, policyjny, patrolować"
nation,"naród, państwo"
reached,"osiągnięty, osiągnięty, osiągnął"
educational,edukacyjny
mentioned,"wspomniany, wzmiankowany"
lot,"wiele, dużo, los, działka, seria"
led,"prowadził, kierowany, prowadzony"
sample,"próbka, wzorzec, próbować, pobierać próbkę"
strength,"siła, moc, wytrzymałość, atut, zaleta"
ability,"zdolność, umiejętność, talent"
impact,"wpływ, oddziaływanie, uderzenie"
front,"przód, front, przedni, napotkać, skonfrontować"
daily,"codzienny, dzienny, dziennie, codziennie"
lake,jezioro
forward,"naprzód, do przodu, przedni, przesyłać, kierować"
affairs,"sprawy, kwestie"
description,opis
filed,"złożony, wniesiony"
success,sukces
effort,"wysiłek, staranie, próba"
scientific,naukowy
fully,"całkowicie, w pełni"
develop,"rozwijać, opracowywać"
certainly,"z pewnością, na pewno, oczywiście"
metal,"metal, metalowy"
forest,"las, zalesiać"
created,"utworzony, stworzony"
recently,"niedawno, ostatnio"
decided,"zdecydowany, zdecydował"
offer,"oferta, propozycja, oferować"
truth,"prawda, prawdziwość"
communication,"komunikacja, łączność, porozumiewanie się"
try,"próbować, usiłować, próba, spróbować"
budget,"budżet, plan finansowy"
separate,"oddzielny, odrębny, oddzielać"
died,"umarł, zmarł"
indicated,"wskazany, zaznaczony"
serve,"służyć, podawać, obsługiwać"
remain,"pozostać, utrzymywać się"
suggested,"zasugerowany, proponowany, sugerowany"
wood,drewno
amended,"zmieniony, poprawiony"
request,"prośba, żądanie, prosić, żądać, wniosek"
expression,"wyrażenie, ekspresja"
step,"krok, etap, kroczyć"
middle,"środek, środkowy"
agent,"agent, przedstawiciel"
pass,"zaliczenie, przepustka, karta, wstęp, pas, przełęcz, podanie, przejazd, paszport, mijać, wyprzedzać, przechodzić, zdać, podawać, umrzeć, wystarczać, wydać, przejść"
useful,"pożyteczny, pomocny, przydatny, użyteczny"
professional,"profesjonalista, zawodowiec, fachowiec, wolny zawód, zawodowy, fachowy, profesjonalny, służbowy"
easily,"łatwo, prosto, bez trudu, bez problemu, swobodnie, z łatwością"
choice,"wybór, możliwość"
regular,"regularny, stały, zwykły"
image,"obraz, zdjęcie, wizerunek, odwzorowanie, odzwierciedlenie, zobrazowanie, wizja, ucieleśnienie, wyobrażać, przedstawiać, ucieleśniać, odzwierciedlać, odwzorowywać"
dead,"martwy, nieżywy, zmarły, pośmiertny, zwiędnąć, obumrzeć, nieczuły, obojętny, wymrzeć, zepsuć się, wygasnąć, skonany, zupełny, nagle, prosto, dokładnie, na śmierć"
error,"błąd, pomyłka, błędność, nieścisłość, odchylenie"
raised,"podniesiony, wychowany, poruszony, hodowany"
net,"sieć, siatka, Internet, netto, dochód netto, łapać, przynieść"
speed,"szybkość, prędkość, przyspieszać"
task,"zadanie, zajęcie, praca, dać komuś do wykonania, zlecać"
drug,"lek, narkotyk"
mark,"plama, skaza, znaczek, kreska, znak, znamię, stopień, ocena, cel, marka, zaznaczyć, oznaczyć, oceniać, punktować, zaobserwować, zapamiętać"
lack,"niedostatek, brak, niedosyt, cierpieć na"
arms,"ramiona, broń, uzbrojenie, herb"
accepted,"ogólnie przyjęty, zaakceptowany"
entered,"wejść, wprowadzić, zapisać, wpisać, wprowadzony"
manager,"menedżer, menedżerka, kierownik, kierowniczka, agent, agentka"
film,"film, filmowy, filmować, taśma filmowa, warstwa, cienki"
summary,"streszczenie, podsumowanie"
prevent,"zapobiegać, uniemożliwiać, przeszkadzać"
thousand,tysiąc
square,"kwadrat, plac, skwer, pole, nudziarz, kwadratowy, uczciwy, pod kątem prostym, podnosić do kwadratu, godzić się"
labour,"praca, robocizna, siła robocza, poród, pracować, laburzystowski"
myself,"się, siebie, sobie, sam, mnie, mną, ja sam"
freedom,wolność
sound,"dźwięk, odgłos, brzmienie, przesmyk, cieśnina, sondować, zdrowy, bezpieczny, rozsądny, słuszny, pewny, brzmieć, mocny, głęboki"
whatever,"cokolwiek, obojętnie co, którykolwiek, cóż, wcale, w ogóle"
chinese,"Chińczyk, Chinka, chiński"
negative,"zaprzeczenie, negatyw, ujemny, negatywny, przeczący, negatywowy"
expressed,wyrażony
outside,"zewnętrzny, na zewnątrz, spoza, poza"
branch,"gałąź, oddział, odgałęzienie, odgałęziać się"
gold,"złoto, złoty, złocisty, kolor złoty"
details,"szczegóły, detale"
rock,"skała, kamień, rock, wysepka, skalisty, kamienisty, kołysać, poruszyć"
represented,"przedstawiony, reprezentowany"
performed,"wykonany, przeprowadzony, przedstawiony, wykonywany"
cash,"gotówka, płatność gotówką, czek"
coast,"wybrzeże, brzeg, nadbrzeże, pływać wzdłuż wybrzeża, jechać wzdłuż wybrzeża"
share,"część, udział, akcja, dzielić, współdzielić, udostępniać, dzielić się, podzielić się"
context,kontekst
herself,"ona sama, samodzielnie, sobie samej"
popular,"popularny, powszechny"
traffic,"ruch drogowy, natężenie ruchu, handel, przewóz, targować się"
doubt,"wątpliwość, wątpić"
traditional,tradycyjny
plate,"talerz, płyta, tablica, tabliczka, taca"
style,styl
african,"afrykański, Afrykanin, Afrykanka"
village,"wieś, wioska"
married,"żonaty, zamężny, małżeński"
advanced,zaawansowany
valley,dolina
japanese,"japoński, Japończyk, Japonka, język japoński"
advantage,"przewaga, korzyść, pożytek, walor, zysk, zaleta"
principal,"główny, podstawowy, dyrektor, rektor, mocodawca, zleceniodawca, kapitał, kwota, dyrektor"
royal,"królewski, monarchiczny, członek rodziny królewskiej"
argument,"argument, spór, dyskusja"
centre,"centrum, środek, centralny, środkowy, centrować, koncentrować"
brown,"brąz, brązowy, brunatny, kasztanowaty, opalony, przyrumienić, zbrązowieć, opalić się"
printed,"drukowany, wydrukowany"
pacific,"spokojny, pokojowy, pacyficzny"
accept,"akceptować, przyjmować, uznawać, zgadzać się, odbierać"
attack,"atak, napaść, atakować, napadać"
wish,"chcieć, życzyć sobie, pragnąć, życzenie, żałować"
failed,"nieudany, oblać, zawieść"
avoid,"unikać, powstrzymywać się, zapobiegać"
impossible,"niemożliwy, niewykonalny, nieprawdopodobny, nie do przyjęcia, nieznośny, niemożliwe"
competition,"rywalizacja, współzawodnictwo, konkurencja, konkurs, turniej"
official,"oficjalny, urzędowy, służbowy, formalny, biurokratyczny, oficjał, urzędnik"
bit,"kawałek, bit, trochę"
editor,"redaktor, edytor, montażysta"
native,"mieszkaniec, mieszkanka, tubylec, autochton, ojczysty, rodzimy, wrodzony"
deal,"handlować, rozdawać, traktować, poradzić sobie, umowa, transakcja"
usual,"zwyczajny, taki jak zwykle, zwykły"
citizens,obywatele
apparently,"najwyraźniej, na pozór"
attempt,"próba, staranie, zamach, próbować, usiłować"
explain,"wyjaśniać, tłumaczyć, wyjaśnić"
chance,"szansa, okazja, sposobność, przypadek, ryzyko, prawdopodobieństwo, ryzykować"
kingdom,królestwo
improve,"poprawiać, polepszać, doskonalić, ulepszać, poprawić"
contrast,"kontrast, skontrastować"
canadian,"kanadyjski, Kanadyjczyk, Kanadyjka"
generation,pokolenie
zone,strefa
appearance,"wygląd, wizerunek, pojawienie się, występ"
passage,"korytarz, pasaż, przejście, przewód, ustęp, fragment"
suitable,"właściwy, odpowiedni, stosowny, nadający się"
organized,"zorganizowany, uporządkowany"
mining,"górnictwo, kopalnictwo, górniczy"
museum,"muzeum, muzealny"
fresh,"świeży, rześki, nowy, bezczelny"
salt,"sól, solić, zasolić, słony"
exactly,"dokładnie, właśnie"
search,"szukać, wyszukiwać, poszukiwać, poszukiwanie, wyszukiwanie, przeszukanie"
silver,"srebro, srebrny, posrebrzyć"
shape,"kształt, figura, forma, kształtować, formować"
background,"tło, kontekst, doświadczenie, pochodzenie, środowisko, drugoplanowy"
consists,"składać się, składa się z, składa się"
crime,"przestępstwo, zbrodnia, przestępczość"
safe,"bezpieczny, sejf"
ancient,"starożytny, antyczny, starodawny, pradawny"
wave,"fala, machanie, falować, machać, pomachać, powiewać"
ill,"chory, niezdrowy, źle"
youth,"młodość, młodzież, młodzieniec"
adult,"dorosły, osoba dorosła, pełnoletni"
bay,"zatoka, wawrzyn, laurowy, szczekać"
signed,"podpisany, podpisać"
load,"ładunek, ciężar, obciążenie, ładować, wczytywać"
path,"ścieżka, dróżka, tor, droga, trajektoria"
strategy,"strategia, plan działania"
fear,"strach, obawa, lęk, obawiać się, bać się"
exercise,"ćwiczenie, ćwiczyć"
emergency,"nagły wypadek, sytuacja awaryjna, awaryjny"
highway,"droga główna, autostrada, szosa"
difficulty,trudność
mainly,głównie
sought,"poszukiwany, dążyć do, szukać"
apart,"osobno, oddzielnie, oprócz, z dala od siebie"
machinery,"maszyneria, urządzenia,"
suggests,"sugerować, wskazywać, sugeruje"
indicates,"wskazywać, oznaczać, wskazuje"
schedule,"harmonogram, plan, grafik, rozkład, zaplanować"
fees,"opłaty, honoraria, składki"
perfect,"idealny, doskonały, doskonalić"
possibly,"możliwie, prawdopodobnie, ewentualnie, być może"
clerk,"urzędnik, sprzedawca"
petition,"petycja, skarga, wniosek, składać"
structural,"strukturalny, budowlany"
instrument,"instrument, przyrząd, narzędzie"
acres,"akry, akr"
ministry,"ministerstwo, duszpasterstwo, posługa"
award,"nagroda, odznaczenie, wyróżnienie, przyznać"
frank,"szczery, frank, frankować"
female,"żeński, samica, wtyczka żeńska, kobieta"
column,"kolumna, słup, felieton"
extremely,"niezwykle, nadzwyczajnie, wybitnie"
ought,"powinien, należy"
suit,"garnitur, pozew, pasować, odpowiadać"
mechanism,"mechanizm, sposób działania"
philadelphia,Filadelfia
admitted,"przyjęty, uznany, dopuszczony, przyznany"
soft,"miękki, delikatny"
chamber,"izba, komora, sala, komnata"
usa,Stany Zjednoczone
attitude,"postawa, nastawienie, stosunek, podejście"
slowly,"powoli, pomału, wolno"
captain,"kapitan, komandor"
powerful,"silny, mocny, potężny"
scene,"scena, sceneria, obraz, miejsce, krajobraz"
greatly,"wielce, ogromnie, bardzo, znacznie"
target,"cel, tarcza, celować, docelowy, adresować"
trouble,"zmartwienie, problem, kłopot, martwić się, trudzić się, zadręczać się, dokuczać, fatygować, męczyć, dręczyć"
representation,"reprezentacja, przedstawicielstwo, przedstawienie, wyobrażenie"
senior,"starszy, senior"
advertising,"reklama, reklamowy"
double,"podwójny, podwoić, podwójnie, dubler, sobowtór, debel, kontra"
release,"wyzwolenie, uwolnienie, oswobodzenie, wypuszczenie, opublikowanie, publikacja, wydanie, spust, wyzwalacz, puścić, uwalniać, wyzwalać, zwalniać, pozwalać, publikować, wypuszczać"
uniform,"mundur, jednolity"
operate,"obsługiwać, działać, operować, posługiwać się"
italy,Włochy
mode,"tryb, sposób"
explanation,"objaśnienie, wyjaśnienie, wytłumaczenie, uzasadnienie"
speaker,"mówca, mówczyni, spiker, głośnik"
exposure,"ekspozycja, narażenie"
variables,"zmienna, zmienne"
achieved,"osiągnięty, osiągnąć"
accounting,"księgowość, księgowy"
ray,"promień, promyk, płaszczka, raja, półprosta, promieniowanie, promieniować"
depends,"zależeć, zależy"
exists,"istnieć, występować, istnieje"
passing,"przemijający, przelotny, mijanie, przejście, zaliczny, przechodzić, mijać, spędzać, mimochodem, wybitnie, przechodzenie"
inner,"wewnętrzny, środkowy, wnętrze"
danger,"niebezpieczeństwo, zagrożenie"
israel,Izrael
software,oprogramowanie
wild,"dziki, nieokiełznany, barbarzyński, niezamieszkały, naturalny, dziko, dzicz, matecznik"
tradition,tradycja
discovered,"odkryć, odkrywać, odkryty"
advice,"rada, porada, wskazówka, zalecenie"
till,"dopóki, póki, aż do"
fairly,"dosyć, raczej, całkiem, sprawiedliwie, dość"
accident,"wypadek, przypadek, akcydens"
waiting,"czekanie, oczekiwanie"
printing,"druk, drukowanie, drukarski, drukować"
expenditure,"wydatek, wydatkowanie, nakład, wydatki"
seed,"nasiono, ziarno, siać, nasiona"
strongly,"mocno, silnie, stanowczo"
appendix,"dodatek, aneks, załącznik, wyrostek robaczkowy"
russia,Rosja
implementation,"wdrożenie, realizacja, wykonanie, implementacja"
flight,"lot, ucieczka, lotniczy, bieg schodowy"
removal,"usunięcie, usuwanie, przeprowadzka"
hardly,"ledwo, z trudem, prawie nie, prawie wcale"
opposite,"przeciwieństwo, przeciwległy, przeciwstawny, naprzeciwko"
distinct,"wyraźny, odmienny, różny, odróżniający"
favor,"przysługa, faworyzować, sprzyjać"
ring,"pierścień, obrączka, dzwonić, dźwięczeć, obwód, okrążać"
frame,"rama, szkielet, ramka, oprawa, obramować, formułować"
intelligence,"inteligencja, wywiad, informacja, wywiadowczy"
travel,"podróżować, podróż, przemieszczać się"
magnetic,"magnetyczny, przyciągający"
familiar,"znajomy, obeznany, zaznajomiony, bliski, zażyły"
queen,"królowa, dama, hetman"
widely,"powszechnie, szeroko"
asia,Azja
constitutional,"konstytucyjny, konstytucjonalny, ustrojowy, statutowy"
chain,"łańcuch, sieć, pasmo, przypiąć"
respondent,"respondent, pozwany, respondent"
enforcement,"egzekwowanie, wykonanie, egzekucja, przymus, narzucanie, wymuszanie, wprowadzenie w życie"
claimed,"twierdzić, rzekomy, twierdzony"
treasury,"finanse, skarbiec, skarbnica, skarb państwa, skarb"
census,spis ludności
allows,"pozwalać, dopuszczać, pozwala"
ahead,"wcześniej, zawczasu, do przodu, naprzód, przed siebie, z przodu, przed"
thereby,"przez to, tym samym, w ten sposób, skutkiem tego"
pursuant,zgodnie z
theoretical,teoretyczny
novel,"powieść, nowatorski, oryginalny"
license,"licencja, licencjonować, udzielać licencji"
handling,"obsługa, radzenie sobie, obchodzenie się, paserstwo"
fed,"nakarmić, karmić, nakarmiony, karmiony"
couple,"para, kilka, łączyć, parować"
customers,"klienci, klientki"
clay,"glina, gliniasty, gliniany"
reporting,"reportaż, raportowanie, sprawozdawczość, sprawozdanie"
web,"pajęczyna, sieć, internet, błona"
unknown,"nieznany, tajemnica"
elsewhere,gdzie indziej
twice,"dwukrotnie, dwa razy"
complaint,"skarga, narzekanie, choroba, niedomaganie"
framework,"struktura, szkielet, konstrukcja, platforma programistyczna"
appointment,"umówione spotkanie, wizyta, termin, mianowanie, powołanie, spotkanie"
velocity,"prędkość, szybkość"
soldiers,żołnierze
independence,"niezależność, samodzielność, niepodległość"
linear,"liniowy, linearny, równowąski"
consequences,"konsekwencje, następstwa"
fort,"fort, forteca"
shot,"strzał, próba, zdjęcie, kieliszek, strzelać, oddać strzał"
debate,"debata, dyskusja, debatować, dyskutować"
permission,"zezwolenie, pozwolenie, uprawnienie"
male,"samiec, męski, mężczyzna"
mid,"środkowy, w połowie, środek"
realized,"zdawać sobie sprawę, uświadomić sobie, zrealizowany"
thoughts,"myśl, pomysł, myśli, refleksja"
designated,"wyznaczony, określony, mianowany"
patent,"patent, opatentować"
subsection,podsekcja
partly,częściowo
apparatus,"aparat, sprzęt, przyrząd, urządzenie"
root,"korzeń, pierwiastek, rdzeń, podstawa, cebulka, korzenić, zakorzeniać"
miller,młynarz
jack,"podnośnik, dźwignik, walet, gniazdo, podnośnik samochodowy, dźwigać, podwyższać, podebrać"
check,"czek, rachunek, ptaszek, sprawdzenie, kontrola, zaznaczać, zatrzymywać, wypłacać czek, sprawdź"
beauty,"piękno, uroda, piękność, piękny"
ownership,"własność, posiadanie, prawo własności"
mostly,"przeważnie, głównie, na ogół"
equivalent,"równoważnik, ekwiwalent, odpowiednik, równoważny, ekwiwalentny"
weak,"słaby, osłabiony, nieprzekonujący"
heating,ogrzewanie
vertical,"pionowy, wertykalny, pion"
dangerous,"niebezpieczny, groźny"
coverage,"pokrycie, zasięg, sprawozdanie, relacja, reportaż, ubezpieczenie"
namely,"mianowicie, to jest, czyli"
publishing,"wydawnictwo, publikacja, wydawniczy, publikacyjny, edytorski, wydawanie,"
track,"ścieżka, trasa, tor, szlak, trop, ślad, ścieżka dźwiękowa, kurs, bieżnia, śledzić, tropić, holować"
intensity,"natężenie, intensywność"
repair,"naprawiać, reperować, odnawiać, remont, naprawa"
transactions,"transakcje, operacje"
replied,"odpowiedzieć, odpowiadać, odpowiedział,"
reflect,"odbijać, odzwierciedlać, przedstawiać, odbijać się, rozważać, zastanawiać się nad, rozmyślać, wyrażać"
pulled,"ciągnąć, pociągnąć, naciągnąć, ściągnąć, wycofać, wyciągnąć, wyciągnięty"
audience,"publiczność, słuchacz, telewidz, czytelnik, audiencja"
ourselves,"my sami, się, siebie, sobie"
violation,"naruszenie, pogwałcenie, gwałt"
raw,"surowy, nieprzetworzony, nieugotowany, nagi, nieoszlifowany"
specimens,"okazy, egzemplarze, próbki"
